"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRPUS","197805","70417","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197806","67111","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197807","54856","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197808","65813","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197809","59190","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197810","71681","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197811","71156","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197812","61066","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197813","670164","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197901","57794","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197902","54810","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197903","66775","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197904","63937","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197905","69488","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197906","70698","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197907","53595","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197908","71616","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197909","64590","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197910","78563","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197911","68506","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197912","60762","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197913","781134","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198001","69594","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198002","65546","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198003","70953","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198004","69658","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198005","71043","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198006","71338","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198007","61285","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198008","68399","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198009","68822","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198010","72290","1","Coal Production","Thousand Short Tons"
